id,fdc_id,nutrient_id,amount,data_points,derivation_id,component,unit,data_type,food_item,food_category_id,publication_date
2219773,321358,1262,0.0,6.0,1.0,SFA 10:0,G,foundation_food,"Hummus, commercial",16.0,4/1/2019
2219774,321358,1265,1.41,6.0,1.0,SFA 16:0,G,foundation_food,"Hummus, commercial",16.0,4/1/2019
2219725,321358,1278,0.0,6.0,1.0,PUFA 20:5 n-3 (EPA),G,foundation_food,"Hummus, commercial",16.0,4/1/2019
2219709,321358,1127,1.3,6.0,1.0,"Tocopherol, delta",MG,foundation_food,"Hummus, commercial",16.0,4/1/2019
2219749,321358,1090,71.1,11.0,1.0,"Magnesium, Mg",MG,foundation_food,"Hummus, commercial",16.0,4/1/2019
2219746,321358,1075,0.0,2.0,1.0,Galactose,G,foundation_food,"Hummus, commercial",16.0,4/1/2019
2219766,321358,1313,0.005,6.0,1.0,"PUFA 20:2 n-6 c,c",G,foundation_food,"Hummus, commercial",16.0,4/1/2019
2219815,321358,1330,0.012,,4.0,"Fatty acids, total trans-dienoic",G,foundation_food,"Hummus, commercial",16.0,4/1/2019
2219737,321358,1404,0.637,6.0,1.0,"PUFA 18:3 n-3 c,c,c (ALA)",G,foundation_food,"Hummus, commercial",16.0,4/1/2019
2219807,321358,1197,1.1,1.0,1.0,"Choline, from glycerophosphocholine",MG,foundation_food,"Hummus, commercial",16.0,4/1/2019
2219771,321358,1259,0.0,6.0,1.0,SFA 4:0,G,foundation_food,"Hummus, commercial",16.0,4/1/2019
2219810,321358,1194,22.3,1.0,1.0,"Choline, free",MG,foundation_food,"Hummus, commercial",16.0,4/1/2019
2219777,321358,1123,258.0,1.0,1.0,Lutein + zeaxanthin,UG,foundation_food,"Hummus, commercial",16.0,4/1/2019
2219761,321358,1299,0.004,6.0,1.0,SFA 15:0,G,foundation_food,"Hummus, commercial",16.0,4/1/2019
2219724,321358,1273,0.044,6.0,1.0,SFA 22:0,G,foundation_food,"Hummus, commercial",16.0,4/1/2019
2219719,321358,1258,2.22,,4.0,"Fatty acids, total saturated",G,foundation_food,"Hummus, commercial",16.0,4/1/2019
2219791,321358,1014,0.0,2.0,1.0,Maltose,G,foundation_food,"Hummus, commercial",16.0,4/1/2019
2219758,321358,1276,0.0,6.0,1.0,PUFA 18:4,G,foundation_food,"Hummus, commercial",16.0,4/1/2019
2219734,321358,1323,0.007,6.0,1.0,MUFA 17:1,G,foundation_food,"Hummus, commercial",16.0,4/1/2019
